"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 14 03:58:37 UTC 2023","Tue Nov 14 03:58:38 UTC 2023","1012","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Nov 14 03:58:34 UTC 2023","Tue Nov 14 03:58:36 UTC 2023","1371","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Nov 14 02:33:54 UTC 2023","Tue Nov 14 02:33:55 UTC 2023","265","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Nov 14 02:38:00 UTC 2023","Tue Nov 14 02:38:01 UTC 2023","411","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Nov 14 04:25:19 UTC 2023","Tue Nov 14 04:25:31 UTC 2023","11643","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Nov 14 02:48:36 UTC 2023","Tue Nov 14 02:48:43 UTC 2023","7372","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Nov 14 02:34:02 UTC 2023","Tue Nov 14 02:34:03 UTC 2023","564","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Nov 14 02:42:40 UTC 2023","Tue Nov 14 02:42:44 UTC 2023","3775","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Tue Nov 14 02:25:35 UTC 2023","Tue Nov 14 02:25:57 UTC 2023","21934","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Nov 14 02:26:32 UTC 2023","Tue Nov 14 02:26:56 UTC 2023","23660","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Tue Nov 14 03:00:38 UTC 2023","Tue Nov 14 03:00:41 UTC 2023","2397","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Nov 14 03:16:18 UTC 2023","Tue Nov 14 03:16:24 UTC 2023","6123","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Nov 14 03:44:23 UTC 2023","Tue Nov 14 03:44:27 UTC 2023","4347","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Nov 14 03:44:09 UTC 2023","Tue Nov 14 03:44:12 UTC 2023","3053","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Nov 14 03:15:58 UTC 2023","Tue Nov 14 03:16:16 UTC 2023","17850","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Tue Nov 14 02:41:44 UTC 2023","Tue Nov 14 02:42:37 UTC 2023","53504","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Tue Nov 14 02:39:36 UTC 2023","Tue Nov 14 02:39:52 UTC 2023","15281","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Nov 14 02:41:41 UTC 2023","Tue Nov 14 02:41:44 UTC 2023","3207","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Nov 14 03:47:07 UTC 2023","Tue Nov 14 03:51:41 UTC 2023","274154","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Nov 14 03:55:52 UTC 2023","Tue Nov 14 03:55:54 UTC 2023","2669","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Nov 14 02:46:28 UTC 2023","Tue Nov 14 02:46:47 UTC 2023","19072","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Nov 14 02:45:56 UTC 2023","Tue Nov 14 02:46:02 UTC 2023","5702","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Nov 14 04:25:16 UTC 2023","Tue Nov 14 04:25:19 UTC 2023","3314","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Nov 14 03:44:05 UTC 2023","Tue Nov 14 03:44:09 UTC 2023","4060","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Tue Nov 14 03:00:41 UTC 2023","Tue Nov 14 03:00:42 UTC 2023","1205","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Tue Nov 14 04:26:03 UTC 2023","Tue Nov 14 04:26:06 UTC 2023","3276","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Nov 14 02:53:56 UTC 2023","Tue Nov 14 02:54:10 UTC 2023","13500","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Nov 14 04:12:18 UTC 2023","Tue Nov 14 04:12:27 UTC 2023","8552","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Nov 14 02:36:07 UTC 2023","Tue Nov 14 02:36:28 UTC 2023","20438","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Nov 14 02:48:59 UTC 2023","Tue Nov 14 02:49:02 UTC 2023","3053","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Nov 14 04:25:12 UTC 2023","Tue Nov 14 04:25:16 UTC 2023","3549","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Nov 14 04:14:45 UTC 2023","Tue Nov 14 04:14:54 UTC 2023","8370","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Nov 14 04:13:32 UTC 2023","Tue Nov 14 04:14:41 UTC 2023","69003","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Nov 14 03:10:38 UTC 2023","Tue Nov 14 03:10:39 UTC 2023","223","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Nov 14 03:00:00 UTC 2023","Tue Nov 14 03:00:38 UTC 2023","38708","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Nov 14 04:00:55 UTC 2023","Tue Nov 14 04:01:05 UTC 2023","10114","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Nov 14 02:46:11 UTC 2023","Tue Nov 14 02:46:14 UTC 2023","2941","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Nov 14 02:24:24 UTC 2023","Tue Nov 14 02:24:43 UTC 2023","19461","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Nov 14 04:12:27 UTC 2023","Tue Nov 14 04:12:27 UTC 2023","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
